id,word_index,word,start,end,confidence
-tANM6ETl_M$_$3,0,THE,0.5419388297872341,0.6222260638297873,0.9996294975280762
-tANM6ETl_M$_$3,1,FIRST,0.7025132978723405,0.9233031914893618,0.9845253825187683
-tANM6ETl_M$_$3,2,PLACE,1.003590425531915,1.2845957446808511,0.9573720693588257
-tANM6ETl_M$_$3,3,IS,1.405026595744681,1.4451702127659576,0.9979166984558105
-tANM6ETl_M$_$3,4,EITHER,1.545529255319149,1.746247340425532,0.9994006752967834
-tANM6ETl_M$_$3,5,YOU,1.8666781914893618,1.946965425531915,0.9998484253883362
-tANM6ETl_M$_$3,6,HAVE,2.0473244680851064,2.207898936170213,0.9784654378890991
-tANM6ETl_M$_$3,7,A,2.288186170212766,2.3082579787234043,0.9979589581489563
-tANM6ETl_M$_$3,8,PROSPECT,2.3885452127659574,2.9104122340425533,0.9898337125778198
-tANM6ETl_M$_$3,9,OR,2.95055585106383,3.010771276595745,0.9293841123580933
-tANM6ETl_M$_$3,10,A,3.0709867021276596,3.091058510638298,0.9879797697067261
-tANM6ETl_M$_$3,11,CUSTOMER,3.151273936170213,3.5125664893617023,0.9887127876281738
-tANM6ETl_M$_$3,12,WHO'S,3.5727819148936173,3.693212765957447,0.5472640991210938
-tANM6ETl_M$_$3,13,NEVER,3.89393085106383,4.174936170212766,0.9552013278007507
-tANM6ETl_M$_$3,14,DONE,4.295367021276596,4.476013297872341,0.9705510139465332
-tANM6ETl_M$_$3,15,IT,4.536228723404256,4.576372340425532,0.9984554648399353
-tANM6ETl_M$_$3,16,BEFORE,4.676731382978724,5.058095744680851,0.9997389316558838
-tANM6ETl_M$_$3,17,OR,5.07816755319149,5.118311170212766,2.4525559638277628e-05
-tANM6ETl_M$_$3,18,THEY'VE,5.1383829787234045,5.339101063829787,0.9353918433189392
-tANM6ETl_M$_$3,19,NEVER,5.439460106382979,5.6602500000000004,0.9853769540786743
-tANM6ETl_M$_$3,20,TRIED,5.740537234042553,5.981398936170213,0.9989110827445984
-tANM6ETl_M$_$3,21,IT,6.0616861702127665,6.121901595744681,0.6876545548439026
