id,video_id,clip_id,modality,annotation,label,duration_seconds,raw_feature_rows,raw_feature_dim,aligned_shape,alignment_granularity,valid_bins,mean_coverage,source_interval_start_seconds,source_interval_end_seconds,text_alignment,backend,video_path,video_sha256
-3g5yACwYnA$_$2,-3g5yACwYnA,2,text,Neutral,0.0,9.39,19.0,768.0,50x768,50 equal-duration bins,23.0,0.304953,1.862282,7.709447,ctc,transformers:D:\E_math\models\bert-base-uncased,D:\E_math\DATA\attachment_1_raw_samples\videos\-3g5yACwYnA\2.mp4,0619c01f137d017c15c058176f18a575919189c7e81ebd2bfb993afdb86f3de7
-3g5yACwYnA$_$2,-3g5yACwYnA,2,audio,Neutral,0.0,9.39,921.0,74.0,50x74,50 equal-duration bins,50.0,0.982428,0.0,9.225,ctc,ffmpeg_numpy_74,D:\E_math\DATA\attachment_1_raw_samples\videos\-3g5yACwYnA\2.mp4,0619c01f137d017c15c058176f18a575919189c7e81ebd2bfb993afdb86f3de7
-3g5yACwYnA$_$2,-3g5yACwYnA,2,vision,Neutral,0.0,9.39,47.0,35.0,50x35,50 equal-duration bins,50.0,1.0,0.0,9.39,ctc,ffmpeg_numpy_35,D:\E_math\DATA\attachment_1_raw_samples\videos\-3g5yACwYnA\2.mp4,0619c01f137d017c15c058176f18a575919189c7e81ebd2bfb993afdb86f3de7
-3g5yACwYnA$_$3,-3g5yACwYnA,3,text,Neutral,0.0,14.39,42.0,768.0,50x768,50 equal-duration bins,37.0,0.451951,0.60033,12.947116,ctc,transformers:D:\E_math\models\bert-base-uncased,D:\E_math\DATA\attachment_1_raw_samples\videos\-3g5yACwYnA\3.mp4,eff8cfefba2425155f2b72656829b34b23be8bfe1dcbece384154f56818aa26d
-3g5yACwYnA$_$3,-3g5yACwYnA,3,audio,Neutral,0.0,14.39,1431.0,74.0,50x74,50 equal-duration bins,50.0,0.995483,0.0,14.325,ctc,ffmpeg_numpy_74,D:\E_math\DATA\attachment_1_raw_samples\videos\-3g5yACwYnA\3.mp4,eff8cfefba2425155f2b72656829b34b23be8bfe1dcbece384154f56818aa26d
-3g5yACwYnA$_$3,-3g5yACwYnA,3,vision,Neutral,0.0,14.39,72.0,35.0,50x35,50 equal-duration bins,50.0,1.0,0.0,14.39,ctc,ffmpeg_numpy_35,D:\E_math\DATA\attachment_1_raw_samples\videos\-3g5yACwYnA\3.mp4,eff8cfefba2425155f2b72656829b34b23be8bfe1dcbece384154f56818aa26d
-3g5yACwYnA$_$9,-3g5yACwYnA,9,text,Positive,0.666667,8.82,30.0,768.0,50x768,50 equal-duration bins,37.0,0.5475,0.801486,8.475717,ctc,transformers:D:\E_math\models\bert-base-uncased,D:\E_math\DATA\attachment_1_raw_samples\videos\-3g5yACwYnA\9.mp4,b962573b12ed1f06d5533f6427c80dce2bae3a99dd332f6d3fcb32c579f3f016
-3g5yACwYnA$_$9,-3g5yACwYnA,9,audio,Positive,0.666667,8.82,868.0,74.0,50x74,50 equal-duration bins,50.0,0.985828,0.0,8.695,ctc,ffmpeg_numpy_74,D:\E_math\DATA\attachment_1_raw_samples\videos\-3g5yACwYnA\9.mp4,b962573b12ed1f06d5533f6427c80dce2bae3a99dd332f6d3fcb32c579f3f016
-3g5yACwYnA$_$9,-3g5yACwYnA,9,vision,Positive,0.666667,8.82,44.0,35.0,50x35,50 equal-duration bins,50.0,1.0,0.0,8.82,ctc,ffmpeg_numpy_35,D:\E_math\DATA\attachment_1_raw_samples\videos\-3g5yACwYnA\9.mp4,b962573b12ed1f06d5533f6427c80dce2bae3a99dd332f6d3fcb32c579f3f016
-3g5yACwYnA$_$13,-3g5yACwYnA,13,text,Positive,0.666667,5.51,20.0,768.0,50x768,50 equal-duration bins,32.0,0.462619,1.445119,4.857205,ctc,transformers:D:\E_math\models\bert-base-uncased,D:\E_math\DATA\attachment_1_raw_samples\videos\-3g5yACwYnA\13.mp4,aeb47627f59dce3d0a85a44ef35e4a3bc18211498e98c8c11cf60269646df24f
